tract,NAME,sd_language1,sd_language2,sd_language3,sd_language4,sd_language5,NAME2,sd2_language1,sd2_language2,sd2_language3,sd2_language4,sd2_language5,community_center,community_center2,population,people_of_color_population,per_cap_income,white,black,american_indian,asian,pacific_islander,some_other_race,two_ormore_races,total_hispanic,male,female,age0_4,age0_17,age18_plus,age65_plus
53033022805,CHERRY CREST,Telugu,Chinese-Mandarin,Chinese-Unspecified,Hindi,Tamil,Ardmore,Spanish,Telugu,Hindi,Tamil,Russian,North Bellevue Community Center,Highland Community Center,3790,1929,80231,1940,107,0,1605,0,0,138,79,2036,1754,333,836,2954,512
53033022804,ARDMORE,Spanish,Telugu,Hindi,Tamil,Russian,,,,,,,North Bellevue Community Center,Highland Community Center,5258,3420,57089,2132,161,89,2427,49,45,355,338,2784,2474,352,810,4448,331
53033023701,CHERRY CREST,Telugu,Chinese-Mandarin,Chinese-Unspecified,Hindi,Tamil,,,,,,,Highland Community Center,Norhtwest Arts Center,4670,1930,84374,2793,70,0,1483,0,147,177,226,2338,2332,210,947,3723,799
53033024001,CLYDE HILL,Chinese-Mandarin,Korean,Chinese-Unspecified,Hindi,Telugu,,,,,,,Northwest Arts Center,,3927,1820,91900,2132,0,0,1672,0,81,42,58,2141,1786,158,844,3083,588
53033023702,WILBURTON,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,Stevenson,Spanish,Telugu,Hindi,Tamil,Marathi,Highland Community Center,Northwest Arts Center,377,329,87274,50,25,0,302,0,0,0,2,203,174,74,83,294,12
53033024002,MEDINA,Chinese-Mandarin,Chinese-Unspecified,Korean,Russian,Spanish,Clyde Hill,Chinese-Mandarin,Korean,Chinese-Unspecified,Hindi,Telugu,Northwest Arts Center,,3831,2004,94851,1906,75,0,1715,0,3,132,82,1987,1844,257,930,2901,486
53033023805,WILBURTON,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,,,,,,,Northwest Arts Center ,,3211,1834,98009,1441,20,0,1414,15,21,300,85,1622,1589,148,447,2764,485
53033023806,WILBURTON,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,,,,,,,Northwest Arts Center,,3219,1469,87839,1815,54,0,1228,0,57,65,122,1868,1351,190,220,2999,647
53033023807,WILBURTON,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,,,,,,,Northwest Arts Center,,5589,2603,129922,3118,270,16,2105,0,0,80,155,2867,2722,129,355,5234,768
53033023808,WILBURTON,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,,,,,,,Northwest Arts Center,,2482,1377,101844,1169,66,55,1067,0,0,125,64,1218,1264,56,198,2284,51
53033023601,WILBURTON,Japanese,Chinese-Mandarin,Russian,Korean,Spanish,,,,,,,Highland Community Center,,4452,2474,82973,2112,167,0,1906,0,126,141,246,2209,2243,305,747,3705,551
53033023603,STEVENSON,Spanish,Telugu,Hindi,Tamil,Marathi,Lake Hills,Spanish,Arabic,Urdu,Hindi,Russian,Highland Community Center,,6724,4848,57256,2214,66,0,3674,0,258,539,912,3680,3044,634,1305,5419,573
53033023201,STEVENSON,Spanish,Telugu,Hindi,Tamil,Marathi,Phantom Lake,Spanish,Russian,Vietnamese,Chinese-Mandarin,Urdu,Crossroads Community Center,Highland Community Center,6187,4616,53570,1730,171,8,4204,0,0,74,159,3179,3008,684,1513,4674,660
53033023202,PHANTOM LAKE,Spanish,Russian,Vietnamese,Chinese-Mandarin,Urdu,Stevenson,Spanish,Telugu,Hindi,Tamil,Marathi,Crossroads Community Center,,4686,2665,46983,2668,193,55,1397,0,276,97,938,2486,2200,287,847,3839,1181
53033022901,ARDMORE,Spanish,Telugu,Hindi,Tamil,Russian,,,,,,,Highland Community Center,Crossroads Community Center,3272,1273,64961,2047,40,0,983,0,13,189,61,1615,1657,202,655,2617,890
53033023000,SHERWOOD,Spanish,Russian,Telugu,Amharic,Herbrew Modern,Bennett,Hindi,Telugu,Chinese-Mandarin,Tamil,Russian,Crossroads Community Center,Highland Community Center,6622,2941,74916,3945,87,0,1819,1,369,401,609,3534,3088,284,1487,5135,870
53033023100,BENNETT,Hindi,Telugu,Chinese-Mandarin,Tamil,Russian,,,,,,,Crossroads Community Center,,4199,1503,66407,3037,37,0,742,0,10,373,355,2097,2102,227,875,3324,681
53033023300,PHANTOM LAKE,Spanish,Russian,Vietnamese,Chinese-Mandarin,Urdu,Lake Hills,Spanish,Arabic,Urdu,Hindi,Russian,Crossroads Community Center,,7098,2929,48280,5050,352,22,1317,0,201,156,1038,3601,3497,537,1428,5670,1256
53033023604,LAKE HILLS,Spanish,Arabic,Urdu,Hindi,Russian,Woodridge,Chinese-Mandarin,Korean,Russian,Chinese-Unspecified,Tamil,Crossroads Community Center,,6428,3817,62119,2796,397,18,2210,208,383,416,658,3331,3097,402,1549,4879,1040
53033023500,WOODRIDGE,Chinese-Mandarin,Korean,Russian,Chinese-Unspecified,Tamil,,,,,,,South Bellevue Community Center,,4070,1627,69733,2534,75,13,1207,0,9,232,135,2045,2025,206,893,3177,407
53033023801,ENETAI,Spanish,Chinese-Mandarin,Japanese,Chinese-Unspecified,Korean,,,,,,,South Bellevue Community Center,Northwest Arts Center,3171,1981,62010,1548,49,0,1339,62,22,151,382,1461,1710,192,588,2583,256
53033023901,ENETAI,Spanish,Chinese-Mandarin,Japanese,Chinese-Unspecified,Korean,,,,,,,Northwest Arts Center,,4497,1848,75941,2823,121,17,951,0,163,422,390,2339,2158,261,1114,3383,682
53033023902,NEWPORT HEIGHTS,Chinese-Mandarin,Korean,Russian,Chinese-Unspecified,Spanish,Enetai,Spanish,Chinese-Mandarin,Japanese,Chinese-Unspecified,Korean,South Bellevue Community Center,,2818,860,127432,2074,0,0,654,27,20,43,149,1321,1497,144,767,2051,409
